submitted_symbol	official_symbol	flybase_id	current_fullname	symbol_synonyms	secondary_flybase_ids	annotation_id	match_type	ambiguous
CG14718	CG14718	FBgn0037939		cg14718		CG14718	official_symbol	No
CG5213	maca	FBgn0038345	maca	CG5213|cg5213|Maca		CG5213	synonym	No
eIF3g2	eIF3g2	FBgn0038796	eukaryotic translation initiation factor 3 subunit g2	CG10881|cg10881|eIF3-S4|eIF3gb		CG10881	official_symbol	No
Syp	Syp	FBgn0038826	Syncrip	AI945337|anon-WO0118547.613|CG17838|cg17838|l(3)03806|Syncrip|syp	FBgn0010818,FBgn0061828	CG17838	official_symbol	No
CG6937	CG6937	FBgn0038989		cg6937|NIFK		CG6937	official_symbol	No
Saf-B	Saf-B	FBgn0039229	Scaffold attachment factor B	CG6995|cg6995|LD22822|SAF-B|saf-b|SAFB		CG6995	official_symbol	No
CG14506	CG14506	FBgn0039659		cg14506		CG14506	official_symbol	No
CG7903	CG7903	FBgn0039730		cg7903		CG7903	official_symbol	No
eIF4H2	eIF4H2	FBgn0039797	eukaryotic translation initiation factor 4H2	CG1340|cg1340|eIF4H|EIF4H2		CG1340	official_symbol	No
Set1	Set1	FBgn0040022	SET domain containing 1	aaf45425 Dm|CG17395|CG17396|CG40351|dSet-1|dSET1|dSet1|dset1|l(3)h5|l5|SET1|set1|SETD1|SetD1	FBgn0040021	CG40351	official_symbol	No
CG14628	CG14628	FBgn0040365		cg14628|EG:BACR42I17.12	FBgn0029558	CG14628	official_symbol	No
CG18823	CG18823	FBgn0042146				CG18823	official_symbol	No
Cnot4	Cnot4	FBgn0051716	CCR4-NOT transcription complex subunit 4	CCR4|CCR4-NOT|CG31716|CG5244|CG5251|cg5251|CNOT4|Cont4|dNOT4|NOT4|Not4|not4|Q8IPB9_DROME	FBgn0032238,FBgn0032239	CG31716	official_symbol	No
Rbfox1	Rbfox1	FBgn0052062	RNA-binding Fox protein 1	A2BP1|A2bp1|BcDNA:GM06073|CG14155|CG18441|cg18441|CG32062|dA2BP1|rbfox1|Rbox1	FBgn0036086,FBgn0036087	CG32062	official_symbol	No
shep	shep	FBgn0052423	alan shepard	alan|alan-shepard|anon-EST:Posey83|anon-WO0118547.198|anon-WO0172774.41|BcDNA:LD40028|BcDNA:RH63980|CG10647|CG10649|CG10668|cg10668|CG32423|Shep	FBgn0027668,FBgn0035595,FBgn0035597,FBgn0035599,FBgn0046389,FBgn0062176,FBgn0062425,FBgn0063142	CG32423	official_symbol	No
CG32706	CG32706	FBgn0052706				CG32706	official_symbol	No
SLIRP1	SLIRP1	FBgn0064117	SRA stem-loop interacting RNA binding protein 1	CG1704|cg1704|CG33071|CG33071-ORFA|CG33071ORFA|CG33714|DmSLIRP1|Dromel_CG33713_FBtr0091704_uORF|RRM	FBgn0031172,FBgn0053071,FBgn0053714	CG33714	official_symbol	No
CG34354	CG34354	FBgn0085383		CG12425|CG12852|CG4787|cg4787	FBgn0039571,FBgn0039573,FBgn0039572	CG34354	official_symbol	No
trv	trv	FBgn0085391	trivet	BcDNA:RE10833|CG12870|CG12872|CG34362|Tia1-like	FBgn0063063,FBgn0039570,FBgn0039569	CG34362	official_symbol	No
CG40813	CG40813	FBgn0085521				CG40813	official_symbol	No
CG41562	CG41562	FBgn0085693				CG41562	official_symbol	No
fne	fne	FBgn0086675	found in neurons	BcDNA:HL02010|BcDNA:RE25290|BEST:HL02010|CG4396|cg4396|CR32646|FNE|Fne|lincRNA.985|MRE28	FBgn0040222,FBgn0047242,FBgn0030436,FBgn0045795,FBgn0052646,FBgn0063046	CG4396	official_symbol	No
Spf45	Spf45	FBgn0086683	Spf45	CG17540|dRBM17|dSPF45|RBM17|spf-45|SPF45|spf45	FBgn0040024,FBgn0062542	CG17540	official_symbol	No
glo	glo	FBgn0259139	glorund	110/46|anon-WO0118547.328|CG6946|cg6946|GLO|Glo|l(3)S011046|l(3)S11046|p67|p67-K	FBgn0037954,FBgn0062090,FBgn0069092	CG6946	official_symbol	Yes
CG42458	CG42458	FBgn0259935		CG18656|cg18656|CG33277|CG33279|cg42458|HNPNPC	FBgn0053277,FBgn0035784,FBgn0053279	CG42458	official_symbol	No
elav	elav	FBgn0260400	embryonic lethal abnormal vision	44C11|9F8A9|CG4262|dHuR|EC7|EG:65F1.2|ELAV|ELav|ElaV|Elav|elav-1|elav-2|elav-3|Elav-9F8A9|END1-2|fliJ|l(1)1Be|l(1)EC7|l(1)G0031|l(1)G0319|weg	FBgn0026157,FBgn0000570,FBgn0040177,FBgn0040203	CG4262	official_symbol	No
CG4806	CG4806	FBgn0260456		cg4806	FBgn0035048	CG4806	official_symbol	Yes
Larp7	Larp7	FBgn0260771	La related protein 7	CG12058|CG42569|dLARP7|dmLarp7	FBgn0005639,FBgn0030113	CG42569	official_symbol	No
Rbp6	Rbp6	FBgn0260943	RNA-binding protein 6	BcDNA:RE25373|CG14055|CG14056|CG32169|CG6573|RBP6|rbp6|RRM6|rrm6	FBgn0010260,FBgn0052169,FBgn0036699,FBgn0036700,FBgn0036701,FBgn0063045	CG32169	official_symbol	No
Rbp1	Rbp1	FBgn0260944	RNA-binding protein 1	CG17136|Rbp-1|RBP1|rbp1|Rbp11|Rbp1D|RRM1|rrm1|RRM11|rrm11|SRSF3	FBgn0010252,FBgn0010254	CG17136	official_symbol	No
bru2	bru2	FBgn0262475	bruno 2	Bru-2|bru-2|CG17008|CG31761|CG31763|CG43065|CG6319|Dm Bru-2	FBgn0043904,FBgn0032423,FBgn0051761,FBgn0051763	CG43065	official_symbol	No
eIF4H1	eIF4H1	FBgn0262734	eukaryotic translation initiation factor 4H1	anon-EST:fe1B9|CG4429|cg4429|eIF4H|EIF4H1|MRE9|Rbp2|RNA-binding protein 2|RRM2|rrm2	FBgn0010256,FBgn0025264,FBgn0030754,FBgn0086541	CG4429	official_symbol	No
sqd	sqd	FBgn0263396	squid	BcDNA:GM03761|CG16901|CG17791|CR33328|fs(3)00048|hnRNP 1|hnRNP A|Hrb87|Hrb87Fb|HRP40|Hrp40|hrp40|l(3)EP3631|l(3)j4B4|l(3)j6E3|l(3)j8E7|Rbp3|RRM3|rrm3|SQD|Sqd|Squid|squid	FBgn0053328,FBgn0047283,FBgn0086897,FBgn0003498,FBgn0010257,FBgn0010299,FBgn0011398,FBgn0011413,FBgn0027643,FBgn0040556,FBgn0011363	CG16901	official_symbol	No
CG34334	CG34334	FBgn0263829		CG9561|cg9561	FBgn0085363,FBgn0031203	CG34334	official_symbol	No
cpo	cpo	FBgn0263995	couch potato	1824|3603|5339|6015|BcDNA:AT31405|CG12349|CG18434|CG18435|cg18435|CG31243|CG42457|CG43738|CPO|Cpo|E(sda)N|l(3)01432|l(3)6015|l(3)j4A1|l(3)j4D4|l(3)j7E2|l(3)j9B3|l(3)rJ553|l(3)s2336|Line N|ORE-17	FBgn0000363,FBgn0011025,FBgn0011358,FBgn0011368,FBgn0011405,FBgn0011416,FBgn0011503,FBgn0038560,FBgn0038561,FBgn0038562,FBgn0051243,FBgn0063288,FBgn0066121,FBgn0259934	CG43738	official_symbol	No
bru3	bru3	FBgn0264001	bruno 3	BRU-3|Bru-3|bru-3|bruno-3|CG10046|cg10046|CG12478|cg12478|CG34243|CG43744|Dm Bru-3|l(3)05871	FBgn0262350,FBgn0036379,FBgn0036378,FBgn0010879,FBgn0085272	CG43744	official_symbol	No
Sxl	Sxl	FBgn0264270	Sex lethal	CG14425|CG18350|CG33070|CG43770|Dm-Sxl|DmSxl|dSXL|Fl|fs(1)K1274|fs(1)M106|l(1)6Fa|melSxl|Mex156|ORF2|Su(da)|Sx1|SXL|SxL|sxl|Sxl-1 Sxl-2|Sxl-Pe|SxlPe|SxlPm	FBgn0003659,FBgn0000823,FBgn0029934,FBgn0053070,FBgn0029933	CG43770	official_symbol	No
orb2	orb2	FBgn0264307	orb2	anon-WO0140519.222|CG43113|CG43782|CG5735|cg5735|Orb2|ORB2A|Orb2A|Orb2B	FBgn0262573,FBgn0035938,FBgn0044649,FBgn0264304	CG43782	official_symbol	No
CG44249	miso	FBgn0265184	minor splicing and oogenesis	65K|CG11478|cg11478|CG30327|CG42257|CG44249|Dm65K|miso|Snrnp65	FBgn0259142,FBgn0034686,FBgn0050327	CG44249	synonym	No
pAbp	pAbp	FBgn0265297	poly(A) binding protein	anon-EST:fe2E5|anon-EST:Posey247|anon-EST:Posey249|BABP|BcDNA:LD24412|CG16803|CG5119|dPABP|duo|l(2)k10109|l(2)SH1908|l(2)SH2 1908|pAB|PABP|PAbp|Pabp|pABP|pABp|pabp|PABP55|PABP55B|PABPC1	FBgn0261619,FBgn0003031,FBgn0021963,FBgn0027713,FBgn0027714,FBgn0063151,FBgn0065324,FBgn0025217,FBgn0040739	CG5119	official_symbol	No
SC35	SC35	FBgn0265298	SR family splicing factor SC35	anon-EST:Posey284|CG15494|CG5442|cg5442|CG5542|dSC35|SC-35|Sc35|sc35	FBgn0040286,FBgn0032432,FBgn0040971,FBgn0027696	CG5442	official_symbol	No
rump	rump	FBgn0267790	rumpelstiltskin	CG9373|cg9373|hnRNP M|HnRNP-S5|Hrp59|hrp59|p70|p75|Rump|S5	FBgn0020921,FBgn0260010,FBgn0037701,FBgn0043867	CG9373	official_symbol	No
SF2	SF2	FBgn0283477	Splicing factor 2	154911_at|ASF|ASF/SF2|CG6987|cg6987|dASF|dmSF2/p28|dSF2|dSF2/ASF|dSRp30|Sf2|SRp30|SRSF1	FBgn0040284,FBgn0038417,FBgn0017543	CG6987	official_symbol	No
Imp	Imp	FBgn0285926	IGF-II mRNA-binding protein	anon-EST:fe2B3|anon-WO0140519.39|CG1691|cg1691|dIMP|FGC026A04|IGF-II|IGF2BP1|IMP|imp|IMP-1|l(1)G0072|MRE11|mre11|ORE-9	FBgn0262735,FBgn0030235,FBgn0025229,FBgn0026687,FBgn0044592,FBgn0086543,FBgn0086345	CG1691	official_symbol	Yes
caz	caz	FBgn0285954	cabeza	anon-Pen19|BcDNA:GM09207|Cabeza|cabeza|cas|Caz|CG3606|dFUS|dFus|EWSR1|l(1)5g11|P19|p19|Pen19|pen19|SARFH|Sarfh|TFIID	FBgn0011571,FBgn0003059,FBgn0011830,FBgn0062479,FBgn0019764	CG3606	official_symbol	No
abd-A	abd-A	FBgn0000014	abdominal A	Abd A|abd A|ABD-A|Abd-A|abd-a|abd_a|AbdA|Abda|abdA|abda|BX-C|Cbxd|CG10325|DmabdA|Dmabda|Fab-3|Fab-4|Fub|Hab|iab|iab-2|iab-3|iab-4|iab-5|iab2|iab3|iab4|l(3)89Ec|Uab		CG10325	official_symbol	No
Abd-B	Abd-B	FBgn0000015	Abdominal B	Abd B|ABD-B|Abd-b|abd-B|Abd0B|ABDB|AbdB|Abdb|abdB|AbdB(CA)[[26]]|AbdB-I|AbdB-II|AbdBm|Adb-B|AdbB|bex|BX-C|CG10291|CG11648|DmAbdB|DROABDB|Droabdb|FAB|Fab-6|Fab-7|Fab-8|Fab6|Fab7|iab|IAB 5|iab-5|iab-6|Iab-7|iab-7|iab-8|iab-8,9|IAB5|iab5|iab6|IAB7|iab7|IAB8|iab8|iab8.9|iab8/9|iab9|l(3)89Ed|Mc|MCP|Mcp|pH189|Sab|Tab|tuh-3|twig|Uab-5[Sab]	FBgn0002692,FBgn0010098,FBgn0026843,FBgn0026859,FBgn0038456,FBgn0038457	CG11648	official_symbol	No
ac	ac	FBgn0000022	achaete	990 E5 F1|AC|Ac|Achaete|achaete|achaete-scute|AS-C|AS-C T5|AS-C T5ac|ASC|ascT5|CG3796|EG:125H10.3|Hw|sc/T5|T5		CG3796	official_symbol	Yes
Acf	Acf	FBgn0027620	ATP-dependent chromatin assembly factor large subunit	175K protein|ACF|Acf-1|ACF/CHRAC|ACF1|Acf1|acf1|CAF|CG1966|CHRAC|CHRAC-175|dACF|dAcf1|dCHRAC|p170|p170/p185|p175	FBgn0021749	CG1966	official_symbol	Yes
achi	achi	FBgn0033749	achintya	ach|Achi|achi/vis|CG8819|dTGIF|dTGIFa|dTGIFb|TGIF|vis|zaa	FBgn0026155	CG8819	official_symbol	No
acj6	acj6	FBgn0000028	abnormal chemosensory jump 6	ACJ6|Acj6|CG9151|I-POU|Ipou|tI-POU	FBgn0004418,FBgn0030633	CG9151	official_symbol	No
Adf1	Adf1	FBgn0284249	Adh transcription factor 1	ADF|Adf|Adf 1|Adf-1|adf-1|ADF1|adf1|Adh transcription factor 1|CG15845|l(2)01349|l(2)04065|l(2)k14805|nal	FBgn0000054,FBgn0010484,FBgn0010565,FBgn0013714,FBgn0033084,FBgn0021846	CG15845	official_symbol	No
Aef1	Aef1	FBgn0005694	Adult enhancer factor 1	AEF-1|AEF1|aef1|CG5683		CG5683	official_symbol	No
al	al	FBgn0000061	aristaless	A1|AL|Al|CG3935|L13-4|lambda13-4		CG3935	official_symbol	No
Alh	Alh	FBgn0261238	Alhambra	AF10|anon-WO0118547.226|CG1070|dAF10|Dalf|l(3)84Be|l(3)g2|l(3)g5|l(3)j13A6|l(3)j8C8|l(3)j8c8|l(3)r13|l(3j8C8|stk	FBgn0037471,FBgn0011412,FBgn0011439,FBgn0062159,FBgn0003528	CG1070	official_symbol	No
amos	amos	FBgn0003270	absent MD neurons and olfactory sensilla	Amos|asolo|bHLHa10|CG10393|Roi|rolo|Tft	FBgn0003689,FBgn0027104	CG10393	official_symbol	No
Antp	Antp	FBgn0260642	Antennapedia	3.4|Ant|ANT-C|ANT-P|ANTC|ANTP|AntP|antp|Antp P1|Antp P2|AntP1|Antp1|Aus|BG:DS07700.1|CG1028|DmAntp|DMANTPE1|DRO15DC96Z|Hu|l(3)84Ba|Ns|Scx	FBgn0000095,FBgn0000111,FBgn0001236,FBgn0003344,FBgn0026857,FBgn0042093	CG1028	official_symbol	No
aop	aop	FBgn0000097	anterior open	AOP|Aop|Aop/Yan|aop/yan|CG3166|DROYANET|DROYANETSB|fus6|pok|SK2-1|YAN|Yan|yan|yan/pok	FBgn0003123,FBgn0005623,FBgn0026827	CG3166	official_symbol	No
ap	ap	FBgn0267978	apterous	AP|Ap|Apt|apterous|blt|CG8376|LIM|neuro|S-2a|trw|Xa	FBgn0000099,FBgn0005618	CG8376	official_symbol	No
apt	apt	FBgn0015903	apontic	3041|APT|Apt|CG5393|l(2)03041|l(2)06369|l(2)09049|l(2)59Ea|l(2)k11531|TDF|tdf|TDF/APT|Tdp	FBgn0010526,FBgn0010619,FBgn0010654,FBgn0016073,FBgn0021909,FBgn0023031	CG5393	official_symbol	Yes
ara	ara	FBgn0015904	araucan	Ara|CG10571|Iro|iro|IRO-C|Iro-C|iro-C|IroC	FBgn0014195	CG10571	official_symbol	No
ase	ase	FBgn0000137	asense	AS-C T8|AS-C T8ase|AS-T8|as-T8|ASC|ascT8|Ase|Asense|asense|bHLHc28|CG3258|EG:165H7.2|sc/T8|T1|T1A|T1a|T8		CG3258	official_symbol	No
ATbp	ATbp	FBgn0039946	(A+T)-stretch binding protein	ATBP|CG17172|CG40145	FBgn0058145	CG17172	official_symbol	No
ato	ato	FBgn0010433	atonal	At|ATO|Ato|ato1|ato[Dm]|bHLHa10|CG7508		CG7508	official_symbol	No
Awh	Awh	FBgn0013751	Arrowhead	awh|CG1072|l(3)63Ea|l(3)63Ea/Awh|l(3)64Ea|l(3)SH9|l63Ea	FBgn0002195	CG1072	official_symbol	No
bab1	bab1	FBgn0004870	bric a brac 1	anon-WO0118547.639|BAB|bab|BAB-1|bab-I|BAB1|Bab1|bric|bric-a-brac|CG13910|CG9097	FBgn0035183,FBgn0061802	CG9097	official_symbol	No
bab2	bab2	FBgn0025525	bric a brac 2	BAB|bab|bab-II|BAB2|Bab2|BTB-II|BtbII|CG13911|CG9102	FBgn0012044,FBgn0035185	CG9102	official_symbol	No
bap	bap	FBgn0004862	bagpipe	Bag|bag|BAP|Bap|Bap1|bgp|CG7902|dNK-3|NK-3|nk-3|NK3|Nkx3.2	FBgn0002943	CG7902	official_symbol	Yes
Bap60	Bap60	FBgn0025463	Brahma associated protein 60kD	BAF60|BAP60|bap60|BAPp60|CG4303|dBAP60|i127|i133		CG4303	official_symbol	No
bcd	bcd	FBgn0000166	bicoid	BCD|Bcd|BG:DS00276.7|bic|Bicoid|bicoid|CG1034|Dm-Bcd|mum|prd4	FBgn0040059,FBgn0014130,FBgn0014131,FBgn0015909,FBgn0015910,FBgn0015911,FBgn0015912	CG1034	official_symbol	No
BEAF-32	BEAF-32	FBgn0015602	Boundary element-associated factor of 32kD	BEAF|beaf|BEAF 32|Beaf-32|beaf-32|BEAF-32A|BEAF-32B|BEAF32|Beaf32|BEAF32A|BEAF32B|BEAF32b|bs04c01.y1|CG10159	FBgn0013752	CG10159	official_symbol	No
B-H1	B-H1	FBgn0011758	BarH1	B-H|Bar|Bar H1|Bar-H1|bar-h1|BarH|BarH1|Barh1|barH1|barh1|BarHI|BH1|CG5529		CG5529	official_symbol	No
B-H2	B-H2	FBgn0004854	BarH2	B|Bar|Bar-H2|bar-h2|BarH|BarH2|Barh2|barh2|BH2|CG5488		CG5488	official_symbol	No
bi	bi	FBgn0000179	bifid	BI|bifid|CG3578|Dm-OMB|Dm-omb|dm-omb|l(1)bi|l(1)omb|OMB|Omb|omb|Qd|T3|TBX2	FBgn0002996,FBgn0003183,FBgn0004104	CG3578	official_symbol	Yes
bigmax	bigmax	FBgn0039509	bigmax	bHLHd13|BIGMAX|Bigmax|CG3350|cg3350|DmMlx|Mlx|mlx		CG3350	official_symbol	No
bin	bin	FBgn0045759	biniou	BIN|Bin|binI|CG18647|Dmbin|DmFoxF|FOXF|FoxF|l(3)65CEe|XIV	FBgn0015501,FBgn0035728	CG18647	official_symbol	No
Blimp-1	Blimp-1	FBgn0035625	Blimp-1	BLIMP-1|blimp-1|Blimp1|CG5249|dBlimp-1|dBlimp1		CG5249	official_symbol	No
br	br	FBgn0283451	broad	2B5|2Bc|A18|BR|Br|BR-C|BR-c|Br-C|Br-c|br-C|br-c|BR-C Z1|Br-C Z2|Br-C-Z3|BR-Z1|br-Z1|BR-Z2|br-Z2|BR-Z3|br-Z3|BR-Z4|Br-Z4|br-Z4|BR_C|BRC|BrC|BRC-Z1|BrC-Z1|BRC-Z2|BRC-Z3|BRC-Z4|Broad|broad|BrZ3|CG11491|CG11509|CG11511|CG11514|de12|DmBr-C|ecs|EG:123F11.1|EG:17A9.1|EG:25D2.1|l(1)2Ba|l(1)2Bab|l(1)2Bad|l(1)2Bb|l(1)2Bc|l(1)2Bd|l(1)d norm-12|l(1)d.norm.1|l(1)dn1|l(1)ESHS5|l(1)G0018|l(1)G0042|l(1)G0284|l(1)G0284a|l(1)G0318|l(1)G0401|l(1)n34|l(1)npr-1|l(1)npr1|l(1)pp-1|l(1)pp-2|l(1)PP1|l(1)pp1|l(1)pp2|l(1)ts132|l(1)ts144|l(1)ts358|l(1)ts376|npr|npr-1|npr1|nprl|nrp|nrp1|o.c.c.|PP1|PP2|rbp|rdp|rds|uq|Z1|Z2|Z3|Z4	FBgn0000210,FBgn0000801,FBgn0001373,FBgn0001374,FBgn0001375,FBgn0001644,FBgn0001684,FBgn0002964,FBgn0003222,FBgn0005389,FBgn0005581,FBgn0010011,FBgn0026711,FBgn0027219,FBgn0027234,FBgn0028290,FBgn0028364,FBgn0029583,FBgn0029585,FBgn0029586,FBgn0029584	CG11491	official_symbol	Yes
brk	brk	FBgn0024250	brinker	brinker|BRK|Brk|CG9653|Dm brk|ssg-1		CG9653	official_symbol	No
bsh	bsh	FBgn0000529	brain-specific homeobox	BSH|Bsh|bsk|CG10604|E86|Hox11-310|lambdaE86|λE86	FBgn0010392	CG10604	official_symbol	Yes
btd	btd	FBgn0000233	buttonhead	BTD|Btd|buttonhead|CG12653		CG12653	official_symbol	Yes
btn	btn	FBgn0014949	buttonless	1261/13|BTN|btn/MEOX|CG5264		CG5264	official_symbol	Yes
byn	byn	FBgn0011723	brachyenteron	apro|Bra|Byn|byn/apro|CG7260|D-TRA|D-Trg|Dm-BYN|dm-Trg|DTrg|Tra|Trg|trg	FBgn0014890	CG7260	official_symbol	No
C15	C15	FBgn0004863	C15	311|93Bal|c15|CG7937|Cll|cll|Ect5|Hox11-311	FBgn0002943,FBgn0008640,FBgn0010393	CG7937	official_symbol	No
cad	cad	FBgn0000251	caudal	38E.19|anon-WO2004063362.83|CAD|Cad|Cadf|Caudal|caudal|cd|CG1759|Dm-Cad|S67	FBgn0082204	CG1759	official_symbol	Yes
Camta	Camta	FBgn0287478	Calmodulin-binding transcription activator	camta|CG13952|CG13953|CG42332|CG8809|cro|dCAMTA|DmCAMTA|tes	FBgn0020554,FBgn0259234,FBgn0033417,FBgn0033415,FBgn0033416	CG42332	official_symbol	No
cas	cas	FBgn0004878	castor	CAS|Cas|CG2102|l(3)j1C2|l(3)neo33|ming	FBgn0005769,FBgn0011311,FBgn0011466,FBgn0014137,FBgn0037367	CG2102	official_symbol	Yes
caup	caup	FBgn0015919	caupolican	Caup|CG10605|Iro|iro|IRO-C|Iro-C|iro-C|IroC	FBgn0014195	CG10605	official_symbol	No
Cf2	Cf2	FBgn0000286	Chorion factor 2	BcDNA:GM09668|CF-2|CF2|cf2|CF2.5|Cf2_II|CG11924	FBgn0062475	CG11924	official_symbol	No
CG11085	CG11085	FBgn0030408				CG11085	official_symbol	No
CG11294	CG11294	FBgn0030058		CT31519		CG11294	official_symbol	No
CG11617	CG11617	FBgn0031232		Mkx		CG11617	official_symbol	No
CG15696	CG15696	FBgn0038833				CG15696	official_symbol	No
CG16863	CG16863	FBgn0028931		BG:DS00797.6|DS00797.6		CG16863	official_symbol	No
CG18599	CG18599	FBgn0038592				CG18599	official_symbol	No
CG32532	CG32532	FBgn0052532		CG14201|CG14202|CG14203	FBgn0031027,FBgn0031028,FBgn0031029	CG32532	official_symbol	No
CG33557	soul	FBgn0053557	soul	CG12648|CG33557	FBgn0040938	CG33557	synonym	No
CG34031	CG34031	FBgn0054031		BP1068|CG34031|CR34031	FBgn0082838	CG34031	official_symbol	No
CG42516	CG42516	FBgn0260390		Dromel_CG11508_FBtr0088817_uORF	FBgn0033267	CG42516	official_symbol	No
CG4328	CG4328	FBgn0036274				CG4328	official_symbol	No
CG7785	CG7785	FBgn0038564		CLLD6		CG7785	official_symbol	No
CG9876	CG9876	FBgn0034821				CG9876	official_symbol	No
chn	chn	FBgn0015371	charlatan	anon-EST:Liang-1.13|CG11798|chl|Chn|clone 1.13|EPIL#6|EPIL6|l(2)02064|l(2)k04218|taco	FBgn0010506,FBgn0026007,FBgn0033992,FBgn0046116	CG11798	official_symbol	Yes
ci	ci	FBgn0004859	cubitus interruptus	Ce|CG2125|CI|Ci|ci-D|Ci/GLI|Ci/Gli|Ci155|ci155|Ci[D]|ci[D]|ciA|CID|CiD|ciD|ciR|d Ci|Gli|l(4)102ABc|l(4)13|l(4)17|Siah	FBgn0000314,FBgn0000315,FBgn0010154,FBgn0010155,FBgn0017411,FBgn0019831	CG2125	official_symbol	No
Clk	Clk	FBgn0023076	Clock	bHLHe10|CG7391|CLK|clk|CLOCK|Clock|clock|dClck|dCLK|dClk|dclk|dCLK/JRK|dCLOCK|dClock|Jerk|Jrk|jrk|PAS1		CG7391	official_symbol	Yes
cnc	cnc	FBgn0262975	cap-n-collar	5134|anon-WO0153538.6|anon-WO0153538.7|BcDNA:RE05559|CG13826|CG17894|CG43286|CG4566|CG4578|CNC|CnC|Cnc|Cnc-C|cnc-C|cnc14|CNC_DROME|CNcC|CnCC|CncC|Cncc|cncC|cncc|cncC/Nrf2|DM12|dNrf2|l(3)03921|l(3)j5E7|NRF|Nrf-2|NRF2|Nrf2|nrf2	FBgn0000338,FBgn0010824,FBgn0039062,FBgn0039063,FBgn0045881,FBgn0045892,FBgn0040590,FBgn0047182	CG43286	official_symbol	No
CoRest	CoRest	FBgn0261573	CoRest	BcDNA:GH01486|BcDNA:LD11215|CG32534|CG32535|CG33525|CG3878|CG42687|CoREST|CoRESTG|dCoREST|i169	FBgn0052534,FBgn0053525,FBgn0031025,FBgn0046809,FBgn0052535,FBgn0063163	CG42687	official_symbol	No
crc	crc	FBgn0000370	cryptocephal	929|ATF-4|ATF4|Atf4|atf4|ATF4/crc|CG8669|Crc|dATF-4|dATF4|dAtf4|DM6|Ire1|l(2)crc	FBgn0020511,FBgn0032941	CG8669	official_symbol	Yes
CrebA	CrebA	FBgn0004396	Cyclic-AMP response element binding protein A	Bbbf2|BBF-2|BBF2_DROME|BcDNA:SD05937|BOX B Binding Factor-2|CG7450|CRE-BP|CREB|Creb|creb|Creb A|CREB-A|CREB-a|Creb-A|CREBA|crebA|creba|dCREB|dCREB-A|dCreb-A|dCREBA|dCrebA|DM4|l(3)03576	FBgn0004848,FBgn0010804,FBgn0041115,FBgn0062892	CG7450	official_symbol	No
CrebB	CrebB	FBgn0265784	Cyclic-AMP response element binding protein B	CG6103|CRE-BP|CREB|Creb|Creb B 17A|CREB-B|CREB-b|Creb-B|Creb17A|CREB2|Creb2|creb2|CREB2-b|Creb2-b|Creb2.b|CREB2a|CREB2b|Creb2b|CREBB|crebB|CrebB-17A|CrebB-17B|CrebB17-A|dCbz|dCREB|dCREB-2|dCREB-2a|dCREB-B|dCREB2|dCreb2|dCREB2-a|dCREB2-b|dCreb2-b|dcreb2-b|dCREB2a|dCREB2b|dCreb2b|dCREBB|dCrebB2|DM9|FBgn0014467|l(1)17Af|S162	FBgn0014467,FBgn0004972,FBgn0014468	CG6103	official_symbol	No
croc	croc	FBgn0014143	crocodile	CG5069|Croc|Dm-FoxC|Dmfd1|FD1|fd1|fd78E|FoxC	FBgn0004894	CG5069	official_symbol	No
crp	crp	FBgn0001994	cropped	35F(AT)[[17]]|AP-4|AP4|BG:DS02740.3|bHLHe63|CG7664|CRP|Crp|dAP-4|l(2)00232|l(2)35Fd|l(2)k00809|l(2)k03505|l(2)SH1614|l(2)SH2 1614|MS:35F.AT17	FBgn0024216,FBgn0026860,FBgn0041143,FBgn0065396	CG7664	official_symbol	Yes
ct	ct	FBgn0004198	cut	BcDNA:GH10590|CG11387|CT|Ct|CUT|Cut|cut|kf|l(1)7Ba|l(1)7Bb|l(1)VE614	FBgn0000383,FBgn0001303,FBgn0029953,FBgn0062500	CG11387	official_symbol	Yes
cwo	cwo	FBgn0259938	clockwork orange	AAF24476.1|bHLHe49|CG17100|CWO|Cwo|dcwo|GM05287|mel_cwo	FBgn0259894,FBgn0016941,FBgn0011718,FBgn0037813	CG17100	official_symbol	No
cyc	cyc	FBgn0023094	cycle	bHLHe7|BMAL1|Bmal1|bMAL1|CG8727|CYC|Cyc|CYCLE|Cycle|cycle|dBma1|dBMAL|dBmal|dbmal|dBMAL1|dbmal1|dCYC|MOP3|Mop3|TGO_CYC	FBgn0024953,FBgn0025108	CG8727	official_symbol	Yes
D	D	FBgn0000411	Dichaete	CG5893|d|Dic|Dichaete|DM10|DM23|DM33|DM36|DM63|fish|l(3)LG9|loD|Sox B2-1|SOX70|Sox70|SOX70D|Sox70D|SOXB2.1|SOXDP|Sry-rDM10|Sry-rDM23|Sry-rDM33|Sry-rDM36|Sry-rDM63	FBgn0010271,FBgn0010273,FBgn0010274,FBgn0010275,FBgn0010276,FBgn0013641,FBgn0014030	CG5893	official_symbol	Yes
D1	D1	FBgn0000412	D1 chromosomal protein	CG9745|dD1|dHMGx|EP(3)0473|HMGI|RE69409		CG9745	official_symbol	Yes
da	da	FBgn0267821	daughterless	5102|bHLHb22|CG5102|DA|Da|l(2)31Ea|l(2)k08611|SC_DA	FBgn0000413,FBgn0022036	CG5102	official_symbol	Yes
