submitted_symbol	official_symbol	flybase_id	current_fullname	symbol_synonyms	secondary_flybase_ids	annotation_id	match_type	ambiguous
tsh	tsh	FBgn0003866	teashirt	ae|ae[l]|CG1374|l(2)04319|l(2)B4-2-12|T shirt|TSH|Tsh	FBgn0000058,FBgn0010570,FBgn0013543	CG1374	official_symbol	No
ttk	ttk	FBgn0003870	tramtrack	0037/17|0250/25|0438/31|0702/07|1049/07|1119/04|1184/16|1209/05|1209/10|1260/10|1281/04|1325/15|1372/08|1396/14|1418/06|3540|5125|5311|anon-EST:Liang-2.9|CG11558|CG1856|clone 2.9|E(yan)100D|FTZ-F2|ftz-f2|ftzf2/ttk|l(3)02667|l(3)j2A1|l(3)j7B8|osn|oss|ovs|Tkt69|Tramtrack|tramtrak|TTK|Ttk|ttk/FTZ-F2|TTK69|Ttk69|ttk69|Ttk69k|TTK88|Ttk88|TTKA|ttkp69	FBgn0011319,FBgn0011402,FBgn0011681,FBgn0039865,FBgn0039866	CG1856	official_symbol	No
tup	tup	FBgn0003896	tailup	CG10619|Isl|isl|Islet|islet|l(2)37Aa|l(2)E41|Tailup|TUP|Tup	FBgn0002017,FBgn0015395	CG10619	official_symbol	No
twi	twi	FBgn0003900	twist	bHLHb17|CG2956|dip5|DTwist|EC9|Tw|TWI|Twi|Twist|twist		CG2956	official_symbol	No
tx	tx	FBgn0288888	taxi	bHLHc10|CG5441|Dei|dei|del|Delilah|delilah|ju	FBgn0263118,FBgn0008649,FBgn0003904,FBgn0004684	CG5441	official_symbol	No
Ubx	Ubx	FBgn0003944	Ultrabithorax	abx|abx/bx|bx|BX-C|bx[D]|bxd|bxd/pbx|bxd[D]|Bxl|bxl|Cbx|CG10388|Dm Ubx|DmUbx|DUbx|Hm|l(3)89Eb|pbx|Uab|UBX|UBx|ubx|Ubx1b|Ubx[[Drosophila]]	FBgn0024276	CG10388	official_symbol	No
unc-4	unc-4	FBgn0024184	unc-4	CG6269|DPHD-1|Dunc-4|Unc-4|Unc4		CG6269	official_symbol	No
unpg	unpg	FBgn0015561	unplugged	1912|anon-45C|CG1650|Gbx|unp|upg	FBgn0014101	CG1650	official_symbol	No
Usf	Usf	FBgn0029711	Usf	bHLHb13|CG17592|Dm Usf|DmUsf|dUSF|dUSF2		CG17592	official_symbol	No
ush	ush	FBgn0003963	u-shaped	CG2762|dFOG|FOG|l(2)19|u-sh|USH|Ush|ushaped|ZFPM2		CG2762	official_symbol	No
usp	usp	FBgn0003964	ultraspiracle	2C|CF1|Cf1|cf1|CF1/USP|CF1/Usp|CG4380|DmUSP|DmUsp|dmUSP|dUSP|EG:22E5.1|l(1)2Cf|l(1)usp|NR2B4|USP|Usp|XR2C		CG4380	official_symbol	Yes
vis	vis	FBgn0033748	vismay	achi/vis|CG8821|dTGIFa|TGIFa|zaa	FBgn0026155	CG8821	official_symbol	Yes
vnd	vnd	FBgn0261930	ventral nervous system defective	CG6172|Dm vnd|Dm-NK2|dNK-2|EC6|EG:118B3.1|HDC16822|l(1)1Bf|l(1)EA142|l(1)EC6|l(1)GA100|l(1)GA122|l(1)RC24|l(1)VA208|l(1)VE769|lab|NK-2|nk-2|NK2|Nkx2|VND|Vnd|vnd/NK-2	FBgn0003986,FBgn0002942,FBgn0084188	CG6172	official_symbol	No
vri	vri	FBgn0016076	vrille	argo|CG14029|DM16|jf23|l(2)25Db|l(2)jf23|mat(2)ea-G|mat(2)earlyRS32|mel_vri|VRI|Vri|Vrille|vrille	FBgn0001927,FBgn0002670	CG14029	official_symbol	No
Vsx1	Vsx1	FBgn0263511	Visual system homeobox 1	CG4136|Chx1|DChx1|Dchx1|dChx1|DVSX1|dVsx1|lincRNA.S8688|Vsx|Vsx-1	FBgn0029775,FBgn0026559	CG4136	official_symbol	No
Vsx2	Vsx2	FBgn0263512	Visual system homeobox 2	CG15781|CG15782|CG15783|CG33980|Chx2|DChx2|dChx2|dVsx2|Vsx|vsx2	FBgn0053980,FBgn0029772,FBgn0029773,FBgn0029774,FBgn0026558	CG33980	official_symbol	No
vvl	vvl	FBgn0086680	ventral veins lacking	Cf1-a|CF1A|Cf1a|Cf1a/drifter|Cf1a/drifter/vvl|Cfla|CG10037|DFR|Dfr|dfr|dfr-vvl|Dfr/Vvl|dfr/vvl|Drf|drf|prd3|sep|ut|Vv1|VVL|VVl|Vvl|vvl/dfr|vvl/dfr/ut	FBgn0003995,FBgn0010170,FBgn0000285,FBgn0003146,FBgn0011727	CG10037	official_symbol	No
yem	yem	FBgn0005596	yemanuclein	CG11879|CG14513|yem|yem-alpha|yem-α|yema|Yemalpha|yemalpha|yemα|yG4.5|yT4.5	FBgn0004042,FBgn0040620	CG14513	official_symbol	No
z	z	FBgn0004050	zeste	CG7803|e(bx)|EG:BACH59J11.3|en-bx|Z|Zeste|zeste		CG7803	official_symbol	Yes
zen	zen	FBgn0004053	zerknullt	BG:DS00276.9|CG1046|dm-zen|l(3)84Ad|z1|ZEN|Zen|ZEN VRE|Zen1|zen1|zerknullt	FBgn0013967,FBgn0019915	CG1046	official_symbol	No
zen2	zen2	FBgn0004054	zerknullt-related	BG:DS00276.10|CG1048|z2|zpr		CG1048	official_symbol	No
zfh1	zfh1	FBgn0004606	Zn finger homeodomain 1	CG1322|l(3)00865|ZFH-1|Zfh-1|zfh-1|ZFH1|ZFh1|Zfh1|Zfh1a|zfl-1|zhf1	FBgn0010733	CG1322	official_symbol	No
zfh2	zfh2	FBgn0004607	Zn finger homeodomain 2	CG1449|ZFH-2|Zfh-2|zfh-2|ZFH2|Zfh2		CG1449	official_symbol	No
